Token,NE?,NEtype,Governor,ListofDependants,SentimentValueofToken,SentimentValueofSentence
tool,0,,as,"['a', 'intimidate']",0.0,-4.0
to,0,,intimidate,[],0.0,-4.0
intimidate,0,,tool,"['to', 'adversaries', 'sully', 'reputations', 'and', 'try']",-2.0,-4.0
adversaries,0,,intimidate,[],0.0,-4.0
sully,0,,intimidate,[],0.0,-4.0
their,0,,reputations,[],0.0,-4.0
reputations,0,,intimidate,['their'],0.0,-4.0
and,0,,intimidate,[],0.0,-4.0
try,0,,intimidate,['garner'],0.0,-4.0
to,0,,garner,[],0.0,-4.0
garner,0,,try,"['to', 'attention']",0.0,-4.0
media,0,,attention,[],0.0,-4.0
attention,0,,garner,['media'],0.0,-4.0
It,0,,'s,[],0.0,-3.0
's,0,,'s,"['It', 'part', '.']",0.0,-3.0
part,0,,'s,['of'],0.0,-3.0
of,0,,part,['pattern'],0.0,-3.0
his,0,,pattern,[],0.0,-3.0
pattern,0,,of,"['his', 'of']",0.0,-3.0
of,0,,pattern,['using'],0.0,-3.0
using,0,,of,"['law', 'punish']",0.0,-3.0
the,0,,law,[],0.0,-3.0
law,0,,using,['the'],0.0,-3.0
to,0,,punish,[],0.0,-3.0
punish,0,,using,"['to', 'enemies', 'as']",-2.0,-3.0
his,0,,enemies,[],0.0,-3.0
enemies,0,,punish,['his'],-2.0,-3.0
as,0,,punish,['weapon'],0.0,-3.0
a,0,,weapon,[],0.0,-3.0
weapon,0,,as,"['a', 'as', 'intended']",0.0,-3.0
as,0,,weapon,['something'],0.0,-3.0
something,0,,as,[],0.0,-3.0
it,0,,intended,[],0.0,-3.0
was,0,,intended,[],0.0,-3.0
never,0,,intended,[],0.0,-3.0
intended,0,,weapon,"['it', 'was', 'never', 'said']",0.0,-3.0
to,0,,said,[],0.0,-3.0
be,0,,said,[],0.0,-3.0
said,0,,intended,"['to', 'be', 'Zirin']",0.0,-3.0
James,1,PERSON,Zirin,[],0.0,-3.0
D.,1,PERSON,Zirin,[],0.0,-3.0
Zirin,1,PERSON,said,"['James', 'D.', 'prosecutor', 'author']",0.0,-3.0
a,0,,prosecutor,[],0.0,-3.0
former,0,,prosecutor,[],0.0,-3.0
federal,0,,prosecutor,[],0.0,-3.0
prosecutor,0,,Zirin,"['a', 'former', 'federal', 'in']",0.0,-3.0
in,0,,prosecutor,['Manhattan'],0.0,-3.0
Manhattan,1,GPE,in,['and'],0.0,-3.0
and,0,,Manhattan,[],0.0,-3.0
the,0,,author,[],0.0,-3.0
author,0,,Zirin,"['the', 'of']",0.0,-3.0
of,0,,author,['book'],0.0,-3.0
the,0,,book,[],0.0,-3.0
book,0,,of,"['the', 'Plaintiff', 'details']",0.0,-3.0
Plaintiff,1,LAW,book,['in'],0.0,-3.0
in,1,LAW,Plaintiff,['Chief'],0.0,-3.0
Chief,1,LAW,in,[],0.0,-3.0
which,0,,details,[],0.0,-3.0
details,0,,book,"['which', 'history']",0.0,-3.0
Trump,1,ORG,history,"[""'s""]",0.0,-3.0
's,0,,Trump,[],0.0,-3.0
legal,0,,history,[],1.0,-3.0
history,0,,details,"['Trump', 'legal']",0.0,-3.0
For,0,,was,['him'],0.0,-1.0
him,0,,For,[],0.0,-1.0
litigation,0,,was,[],-1.0,-1.0
was,0,,was,"['For', 'litigation', 'way', '.']",0.0,-1.0
a,0,,way,[],0.0,-1.0
way,0,,was,"['a', 'of']",0.0,-1.0
of,0,,way,['life'],0.0,-1.0
life,0,,of,[],0.0,-1.0
Trump,1,ORG,revisits,"[""'s""]",0.0,-5.0
's,0,,Trump,[],0.0,-5.0
latest,0,,revisits,[],0.0,-5.0
lawsuit,0,,revisits,[],-2.0,-5.0
revisits,0,,grievance,"['Trump', 'latest', 'lawsuit']",0.0,-5.0
a,0,,grievance,[],0.0,-5.0
familiar,0,,grievance,[],0.0,-5.0
grievance,0,,grievance,"['revisits', 'a', 'familiar', ':', 'colluding', '.']",0.0,-5.0
that,0,,colluding,['Democrats'],0.0,-5.0
Democrats,1,NORP,that,['in'],0.0,-5.0
in,0,,Democrats,['claims'],0.0,-5.0
2016,1,DATE,claims,[],0.0,-5.0
concocted,0,,claims,[],0.0,-5.0
fictitious,0,,claims,[],0.0,-5.0
claims,0,,in,"['2016', 'concocted', 'fictitious']",0.0,-5.0
that,0,,colluding,[],0.0,-5.0
his,0,,campaign,[],0.0,-5.0
campaign,0,,colluding,['his'],0.0,-5.0
was,0,,colluding,[],0.0,-5.0
colluding,0,,grievance,"['that', 'that', 'campaign', 'was', 'with', 'and', 'pursued']",-3.0,-5.0
with,0,,colluding,['Russia'],0.0,-5.0
Russia,1,GPE,with,[],0.0,-5.0
and,0,,colluding,[],0.0,-5.0
that,0,,pursued,[],0.0,-5.0
the,0,,FBI,[],0.0,-5.0
FBI,1,ORG,pursued,"['the', 'as']",0.0,-5.0
as,0,,FBI,['result'],0.0,-5.0
a,0,,result,[],0.0,-5.0
result,0,,as,['a'],0.0,-5.0
pursued,0,,colluding,"['that', 'FBI', 'investigation']",0.0,-5.0
an,0,,investigation,[],0.0,-5.0
unfounded,0,,investigation,[],0.0,-5.0
investigation,0,,pursued,"['an', 'unfounded']",0.0,-5.0
The,0,,suit,[],0.0,1.0
108,1,CARDINAL,page,[],0.0,1.0
page,0,,suit,"['108', '-']",0.0,1.0
suit,0,,screed,"['The', 'page']",0.0,1.0
as,0,,much,[],0.0,1.0
much,0,,screed,['as'],0.0,1.0
a,0,,screed,[],0.0,1.0
political,0,,screed,[],0.0,1.0
screed,0,,screed,"['suit', 'much', 'a', 'political', 'as', '.']",0.0,1.0
as,0,,screed,['names'],0.0,1.0
a,0,,names,[],0.0,1.0
legal,0,,names,[],1.0,1.0
document,0,,names,[],0.0,1.0
names,0,,as,"['a', 'legal', 'document', 'as']",0.0,1.0
as,0,,names,['longstanding'],0.0,1.0
defendants,0,,longstanding,[],0.0,1.0
longstanding,0,,as,"['defendants', 'targets', 'from']",0.0,1.0
targets,0,,longstanding,['of'],0.0,1.0
of,0,,targets,['ire'],0.0,1.0
his,0,,ire,[],0.0,1.0
ire,0,,of,['his'],0.0,1.0
from,0,,longstanding,['officials'],0.0,1.0
both,0,,realm,[],0.0,1.0
the,0,,realm,[],0.0,1.0
political,0,,realm,[],0.0,1.0
realm,0,,officials,"['both', 'the', 'political', 'Clinton', 'Page']",0.0,1.0
Clinton,1,PERSON,realm,"['-', 'and', 'aides', '-', 'and', 'community']",0.0,1.0
and,0,,Clinton,[],0.0,1.0
her,0,,aides,[],0.0,1.0
aides,0,,Clinton,['her'],0.0,1.0
and,0,,Clinton,[],0.0,1.0
the,0,,community,[],0.0,1.0
law,0,,enforcement,[],0.0,1.0
enforcement,0,,community,['law'],0.0,1.0
community,0,,Clinton,"['the', 'enforcement', 'including']",0.0,1.0
including,0,,community,['Comey'],0.0,1.0
former,0,,Director,[],0.0,1.0
FBI,1,ORG,Director,[],0.0,1.0
Director,0,,Comey,"['former', 'FBI']",0.0,1.0
James,1,PERSON,Comey,[],0.0,1.0
Comey,1,PERSON,including,"['Director', 'James', 'and', 'Strzok']",0.0,1.0
and,0,,Comey,[],0.0,1.0
Peter,1,PERSON,Strzok,[],0.0,1.0
Strzok,1,PERSON,Comey,"['Peter', 'and']",0.0,1.0
and,0,,Strzok,[],0.0,1.0
Lisa,1,PERSON,Page,[],0.0,1.0
Page,1,PERSON,realm,['Lisa'],0.0,1.0
two,1,CARDINAL,officials,[],0.0,1.0
FBI,1,ORG,officials,[],0.0,1.0
officials,0,,from,"['realm', 'two', 'FBI', 'exchanged']",0.0,1.0
who,0,,exchanged,[],0.0,1.0
exchanged,0,,officials,"['who', 'messages', 'during']",0.0,1.0
critical,0,,messages,[],0.0,1.0
text,0,,messages,[],0.0,1.0
messages,0,,exchanged,"['critical', 'text', 'about']",0.0,1.0
about,0,,messages,['Trump'],0.0,1.0
Trump,1,ORG,about,[],0.0,1.0
during,0,,exchanged,['campaign'],0.0,1.0
the,0,,campaign,[],0.0,1.0
2016,1,DATE,campaign,[],0.0,1.0
campaign,0,,during,"['the', '2016']",0.0,1.0
It,0,,piggybacks,[],0.0,-6.0
also,0,,piggybacks,[],0.0,-6.0
piggybacks,0,,piggybacks,"['It', 'also', 'off', 'work', '.']",0.0,-6.0
off,0,,piggybacks,[],0.0,-6.0
the,0,,work,[],0.0,-6.0
work,0,,piggybacks,"['the', 'of']",0.0,-6.0
of,0,,work,['listing'],0.0,-6.0
special,0,,counsel,[],0.0,-6.0
counsel,0,,Durham,['special'],0.0,-6.0
John,1,PERSON,Durham,[],0.0,-6.0
Durham,1,PERSON,listing,"['counsel', 'John']",0.0,-6.0
listing,0,,of,"['Durham', 'as', 'people']",0.0,-6.0
as,0,,listing,['defendants'],0.0,-6.0
defendants,0,,as,[],0.0,-6.0
the,0,,people,[],0.0,-6.0
three,1,CARDINAL,people,[],0.0,-6.0
people,0,,listing,"['the', 'three', '-', 'attorney', 'lawyer', '-', 'charged']",0.0,-6.0
a,0,,attorney,[],0.0,-6.0
cybersecurity,0,,attorney,[],0.0,-6.0
attorney,0,,people,"['a', 'cybersecurity']",0.0,-6.0
an,0,,lawyer,[],0.0,-6.0
ex,1,ORG,lawyer,[],0.0,-6.0
FBI,1,ORG,lawyer,[],0.0,-6.0
lawyer,0,,people,"['an', 'ex', '-', 'FBI', 'and', 'analyst']",0.0,-6.0
and,0,,lawyer,[],0.0,-6.0
a,0,,analyst,[],0.0,-6.0
Russia,1,GPE,analyst,[],0.0,-6.0
analyst,0,,lawyer,"['a', 'Russia']",0.0,-6.0
who,0,,charged,[],0.0,-6.0
have,0,,charged,[],0.0,-6.0
been,0,,charged,[],0.0,-6.0
charged,0,,people,"['who', 'have', 'been', 'in']",-3.0,-6.0
in,0,,charged,['probe'],0.0,-6.0
that,0,,probe,[],0.0,-6.0
criminal,0,,probe,[],-3.0,-6.0
probe,0,,in,"['that', 'criminal']",0.0,-6.0
Trump,0,,paints,['in'],0.0,-7.0
in,0,,Trump,['suit'],0.0,-7.0
the,0,,suit,[],0.0,-7.0
suit,0,,in,['the'],0.0,-7.0
paints,0,,paints,"['Trump', 'himself', 'as', 'knew', '.']",0.0,-7.0
himself,0,,paints,[],0.0,-7.0
as,0,,paints,['victim'],0.0,-7.0
the,0,,victim,[],0.0,-7.0
victim,0,,as,"['the', 'of']",-3.0,-7.0
of,0,,victim,['conspiracy'],0.0,-7.0
a,0,,conspiracy,[],0.0,-7.0
vast,0,,conspiracy,[],0.0,-7.0
racketeering,0,,conspiracy,[],0.0,-7.0
conspiracy,0,,of,"['a', 'vast', 'racketeering']",-3.0,-7.0
in,0,,officials,['which'],0.0,-7.0
which,0,,in,[],0.0,-7.0
FBI,1,ORG,officials,[],0.0,-7.0
officials,0,,knew,"['in', 'FBI', 'led']",0.0,-7.0
who,0,,led,[],0.0,-7.0
led,0,,officials,"['who', 'investigation']",0.0,-7.0
the,0,,investigation,[],0.0,-7.0
investigation,0,,led,['the'],0.0,-7.0
knew,0,,paints,"['officials', 'based']",0.0,-7.0
that,0,,based,[],0.0,-7.0
it,0,,based,[],0.0,-7.0
was,0,,based,[],0.0,-7.0
based,0,,knew,"['that', 'it', 'was', 'on']",0.0,-7.0
on,0,,based,['premise'],0.0,-7.0
a,0,,premise,[],0.0,-7.0
false,0,,premise,"['and', 'contrived']",-1.0,-7.0
and,0,,false,[],0.0,-7.0
contrived,0,,false,[],0.0,-7.0
premise,0,,on,"['a', 'false']",0.0,-7.0
Acting,0,,conspired,['in'],0.0,-11.0
in,0,,Acting,['concert'],0.0,-11.0
concert,0,,in,[],0.0,-11.0
the,0,,Defendants,[],0.0,-11.0
Defendants,1,ORG,conspired,['the'],0.0,-11.0
maliciously,0,,conspired,[],0.0,-11.0
conspired,0,,conspired,"['Acting', 'Defendants', 'maliciously', 'weave', '.']",0.0,-11.0
to,0,,weave,[],0.0,-11.0
weave,0,,conspired,"['to', 'narrative']",0.0,-11.0
a,0,,narrative,[],0.0,-11.0
false,0,,narrative,[],-1.0,-11.0
narrative,0,,weave,"['a', 'false', 'colluding']",0.0,-11.0
that,0,,colluding,[],0.0,-11.0
their,0,,opponent,[],0.0,-11.0
Republican,1,NORP,opponent,[],0.0,-11.0
opponent,0,,colluding,"['their', 'Republican', 'Trump']",0.0,-11.0
Donald,1,PERSON,Trump,[],0.0,-11.0
J.,1,PERSON,Trump,[],0.0,-11.0
Trump,1,PERSON,opponent,"['Donald', 'J.']",0.0,-11.0
was,0,,colluding,[],0.0,-11.0
colluding,0,,narrative,"['that', 'opponent', 'was', 'with']",-3.0,-11.0
with,0,,colluding,['sovereignty'],0.0,-11.0
a,0,,sovereignty,[],0.0,-11.0
hostile,0,,sovereignty,[],-2.0,-11.0
foreign,0,,sovereignty,[],0.0,-11.0
sovereignty,0,,with,"['a', 'hostile', 'foreign', 'wrote']",0.0,-11.0
his,0,,lawyers,[],0.0,-11.0
lawyers,0,,wrote,['his'],0.0,-11.0
wrote,0,,sovereignty,"['lawyers', 'describing']",0.0,-11.0
describing,0,,wrote,"['scheme', 'as']",0.0,-11.0
the,0,,scheme,[],0.0,-11.0
alleged,0,,scheme,[],0.0,-11.0
scheme,0,,describing,"['the', 'alleged']",0.0,-11.0
as,0,,describing,['subversive'],0.0,-11.0
so,0,,outrageous,[],0.0,-11.0
outrageous,0,,subversive,['so'],-3.0,-11.0
subversive,0,,as,"['outrageous', 'and', 'incendiary', 'that', 'events']",-2.0,-11.0
and,0,,subversive,[],0.0,-11.0
incendiary,0,,subversive,[],0.0,-11.0
that,0,,subversive,[],0.0,-11.0
even,0,,events,[],0.0,-11.0
the,0,,events,[],0.0,-11.0
events,0,,subversive,"['even', 'the', 'of']",0.0,-11.0
of,0,,events,['pale'],0.0,-11.0
Watergate,1,EVENT,pale,[],0.0,-11.0
pale,0,,of,"['Watergate', 'in']",0.0,-11.0
in,0,,pale,['comparison'],0.0,-11.0
comparison,0,,in,[],0.0,-11.0
It,0,,'s,[],0.0,0.0
's,0,,'s,"['It', 'established', '.']",0.0,0.0
well,0,,established,[],0.0,0.0
established,0,,'s,"['well', '-', 'through']",0.0,0.0
through,0,,established,['investigation'],0.0,0.0
a,0,,investigation,[],0.0,0.0
Justice,1,ORG,Department,[],2.0,0.0
Department,1,ORG,inspector,['Justice'],0.0,0.0
inspector,0,,investigation,['Department'],0.0,0.0
general,0,,investigation,[],0.0,0.0
investigation,0,,through,"['a', 'inspector', 'general', 'made']",0.0,0.0
that,0,,made,[],0.0,0.0
the,0,,FBI,[],0.0,0.0
FBI,1,ORG,made,['the'],0.0,0.0
made,0,,investigation,"['that', 'FBI', 'errors', 'during', 'look']",0.0,0.0
errors,0,,made,"['and', 'missteps']",-2.0,0.0
and,0,,errors,[],0.0,0.0
missteps,0,,errors,[],0.0,0.0
during,0,,made,['probe'],0.0,0.0
the,0,,probe,[],0.0,0.0
Russia,1,GPE,probe,[],0.0,0.0
probe,0,,during,"['the', 'Russia']",0.0,0.0
that,0,,look,[],0.0,0.0
Trump,1,ORG,look,[],0.0,0.0
could,0,,look,[],0.0,0.0
look,0,,made,"['that', 'Trump', 'could', 'seize']",0.0,0.0
to,0,,seize,[],0.0,0.0
seize,0,,look,"['to', 'on', 'advances']",0.0,0.0
on,0,,seize,[],0.0,0.0
if,0,,advances,[],0.0,0.0
his,0,,lawsuit,[],0.0,0.0
lawsuit,0,,advances,['his'],-2.0,0.0
advances,0,,seize,"['if', 'lawsuit']",0.0,0.0
But,0,,did,[],0.0,0.0
Russia,1,GPE,did,[],0.0,0.0
did,0,,did,"['But', 'Russia', 'meddle', 'in', '.']",0.0,0.0
meddle,0,,did,[],0.0,0.0
in,0,,did,['election'],0.0,0.0
the,0,,election,[],0.0,0.0
2016,1,DATE,election,[],0.0,0.0
election,0,,in,"['the', '2016']",0.0,0.0
U.S.,1,GPE,agencies,[],0.0,2.0
intelligence,0,,agencies,[],0.0,2.0
agencies,0,,concluded,"['U.S.', 'intelligence']",0.0,2.0
concluded,0,,concluded,"['agencies', 'in', 'mounted', '.']",0.0,2.0
in,0,,concluded,['January'],0.0,2.0
January,1,DATE,in,['2017'],0.0,2.0
2017,1,DATE,January,[],0.0,2.0
that,0,,mounted,[],0.0,2.0
Russia,1,GPE,mounted,[],0.0,2.0
mounted,0,,concluded,"['that', 'Russia', 'campaign']",0.0,2.0
a,0,,campaign,[],0.0,2.0
far,0,,ranging,[],0.0,2.0
ranging,0,,campaign,"['far', '-']",0.0,2.0
influence,0,,campaign,[],0.0,2.0
campaign,0,,mounted,"['a', 'ranging', 'influence', 'aimed']",0.0,2.0
aimed,0,,campaign,['at'],0.0,2.0
at,0,,aimed,['helping'],0.0,2.0
helping,0,,at,['beat'],2.0,2.0
Trump,1,ORG,beat,[],0.0,2.0
beat,0,,helping,"['Trump', 'Clinton']",0.0,2.0
Clinton,1,PERSON,beat,[],0.0,2.0
And,0,,affirmed,[],0.0,2.0
the,0,,Committee,[],0.0,2.0
bipartisan,0,,Committee,[],0.0,2.0
Senate,1,ORG,Committee,[],0.0,2.0
Intelligence,1,ORG,Committee,[],0.0,2.0
Committee,1,ORG,affirmed,"['the', 'bipartisan', 'Senate', 'Intelligence']",0.0,2.0
after,0,,affirmed,['years'],0.0,2.0
three,1,DATE,years,[],0.0,2.0
years,1,DATE,after,"['three', 'of']",0.0,2.0
of,0,,years,['investigation'],0.0,2.0
investigation,0,,of,[],0.0,2.0
affirmed,0,,affirmed,"['And', 'Committee', 'after', 'conclusions', '.']",0.0,2.0
those,0,,conclusions,[],0.0,2.0
conclusions,0,,affirmed,"['those', 'saying']",0.0,2.0
